닉네임,댓글,좋아요수,날짜
박은빈,동시에 공개되면 주문도 해야하고 영상도 바로 보고싶고ㅠㅠㅠㅠ 흑 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ그래도 택배 되니까 너무 좋아요❤️,6개,2020. 5. 22.
쥐멩,예전에 아리님이랑 마카롱 수업 같이 들었었는데 이미 수업들으시는 분들 중에 제일 잘하시는데도..제일 열심히 하시던 기억이나네요ㅎㅎ 계속 연구하시고 매주 이것저것 테스트 해서 오시는거 보고 정말 진심으로 매장 준비하시는게 느껴졌는데 벌써 딱 2년전이네요..❣️ 여러뷴..여긴 진짜 찐이에요 그렇게 연구를 하시는데 맛 없을 수가 없죠.....아리님께서 얼마나 좋은재료 쓰고 깔끔한 작업환경에서 생산할지 안봐도 알거같아요..믿고 먹을 디저트집 추천은 오직 아리키친뿐..온라인몰 오픈이라니 축하드려요!!!!! 더더더 번창하세요 최곱니댱.👍🏻👍🏻,3개,2020. 5. 22.
햬벤,책 내셨을 때 팬싸 가고 나서 아리님을 더더 !! 엄청 좋아하게된 팬 중 한 명입니다 ㅎㅎ 지난 번 잼라이브에서 방송 하실 때 가서 구매를 겨우 해서 먹었어요 ㅎㅎ !! 항상 멀어서 못 먹었는데 지난 번에 먹고 정말 맛있었던 기억이 있답니다 !! 택배 서비스까지 해주신다니 정말 감사합니다 !!,4개,2020. 5. 22.
딸라사,수년간의 아이돌 티켓팅 경력으로 아켓팅 도전 합니다. (아리키친 티켓팅이라는 뜻),2개,2020. 5. 22.
크림빵creambread,코로나 때문에 가보지도 못 하구 넘 먹어보고 싶었는데 꼭 주문해야겠네여!ㅎㅎ,6개,2020. 5. 22.
30401강수현,으어ㅓ!!! 우와ㅏ아아아ㅏㅏㅏㅏ앙아ㅏㅏ!! 진심으로 축하드려요! 사이트 자주 이용할게요~,3개,2020. 5. 22.
징짱,"하... 아리님 배송은 정말...







사랑입니ㄷr☆...",1개,2020. 5. 22.
I규습러,"오늘 아리키친 다녀왔어요ㅜ 아기자기하고 소중한공간에 방문할 수 있어서 너무 행복했습니다ㅜ
맛보고 싶었던 마카롱 레드벨벳과 스윗드림 너무 맛있었어요 꼬끄가 쫀득하고 진한 요거트맛이 너무 좋아요ㅜ 말차마들렌과 레드벨벗 마들렌은 지금도 입안에 생각나는 맛이었습니다 스윗드림케이크는 스윗드림 마카롱과 같은맛 다른느낌으로 다가와서 맛보는 동안 너무 행복했습니다 바이올렛과 하트 무스케이크도 기대이상으로  맛있었어요 아리님 안계실거라 생각하고 가벼운 마음으로 방문했다가 딱 만나뵈어서 횡설수설했던 기억만 나네요ㅜ
누텔라브레드를 초코프레첼로 잘못 말한걸 가게 나가서 깨달았어요 따흐흑ㅜ 같이 같던 친구가 아리님 만났을 때부터 디저트를 모두 먹는 순간까지 제가 정말 행복해보였다고 하더라구요 오늘 저의 하루를 특별하고 달콤하게 만들어주셔서 감사해요
항상 응원합니다♡♡♡",2개,2020. 5. 22.
손민,내일 아리카롱 가면 마카롱에서 스윗드림이랑 레드벨벳 있나여 ??,2개,2020. 5. 22.
표코몽,언니언니! 아리언니 영상 정말 많이 보고 또 따라 만들기도 많이 만들어봤는데 저처럼 홈베이킹하면서 언니 영상 보는 분들 정말 많을거에요 ! 아리키친 온라인 디저트샵이 어느정도 자리 잡아갈때쯤 ? 언니가 새로운걸 해볼때가 될때쯤 베이킹 도구나 재료 등등을 판매하는 베이킹몰도 꼭꼭 내줬으면 좋겠어요 ㅠㅠ 직접 매장을 하시는분이 연 쇼핑몰이라면 더욱 믿을수있을거 같기도 하고 ??  디저트샵도  자주 방문해볼게요 아아 그리구 제과만 맨날하다가 제빵에 발을 들이게 되었는데 아무래도 제빵관련 영상이 제과 보다는 적더라구요 ㅠㅠ 많이는 말고 무리하지않을정도로만 가끔씩 제빵도 올려주셨음 좋겠어요 !! 항상 잘 보고있어요 언니  ><,2개,2020. 5. 22.
