닉네임,댓글,좋아요수,날짜
74percentWater,"Haha you guys are seriously so cute! Would you consider making videos on finance for fresh graduates? Understand you mainly do videos on beauty and lifestyle, but would love to hear your tips on saving money! Thanks in advance.",0개,2020. 4. 11.
HD,Your life is my dream💕😯 I love watching your videos!,1개,2020. 4. 11.
NailFriend,love this!,2개,2020. 4. 11.
김다솔,언니 빔프로젝트 정보 알수있을까용??,0개,2020. 4. 11.
꽁이,여긴 어느 아파트일까용,0개,2020. 4. 11.
EspaciodeBellezaNaturalySaludableBeautyDiy,"🤗ciao , que lindos outfits,👏💃 eres muy bella 🤩. Un abrazo de corazon desde italia 🇮🇹",0개,2020. 4. 11.
light,11:50 이때 스크린이 엄청 큰데 이거 티비인가요 아님 엄청 큰 스크린?인가요? 혹시 아시는 분 있을까용?🙏🙏,2개,2020. 4. 11.
donnapark,영화볼때 바퀴달린 리클라인 의자 정보좀 알수있을까용??,0개,2020. 4. 11.
LiaYesung,2:44 thats me xD,0개,2020. 4. 11.
이현희,유나님..결혼하신줄몰랐네요~패션쇼잘받습네당~,5개,2020. 4. 11.
유영흔,버티는게아니라 즐기시는듯용,0개,2020. 4. 11.
HyeSeungLee,언니 저 침대 뒤 벽은 뭐에요??,1개,2020. 4. 11.
전지윤,집순인데 강제(?)로 못나가니까 너무 나가고 싶어여..ㅠ,2개,2020. 4. 11.
ElaCampusano,Your chothes are beautifull,1개,2020. 4. 11.
한정오,15:41 😆😆,3개,2020. 4. 11.
Marie,hahha so cuteeeee,1개,2020. 4. 11.
AnastasiyaIsakova,😆😆😆🔥🔥♥️,1개,2020. 4. 11.
GraceS,요즘 유트브에 많이 뜨는 MTS 모공 관리 어떻게 생각하세요? 진짜 효과가 있는지 너무 궁금해요! 집에서 하는 케어가 피부를 더 손상 시키는건 아닌지...,0개,2020. 4. 11.
YSMN,😂❤️❤️,1개,2020. 4. 11.
LeniUxlay,💗,0개,2020. 4. 11.
RosesarevioletRedsareblue,You should post more videos like this!,6개,2020. 4. 11.
PeilingHuang,😂 This is your cutest and most candid video yet! Stay safe and tks for sharing some laughter in these depressing times! 😘,1개,2020. 4. 11.
decemberclouds,"This was a really cute video, thanks!",3개,2020. 4. 11.
imaanesty,Couple goal 🌟,7개,2020. 4. 11.
김아영,"동거와 결혼의 차이는 무엇인가요?
상대에 대한 확신 부족, 이혼시 절차 및 재산상 분할 문제, 양가 부모 친척들간의 관계 이런것에서 자유롭고 싶어 동거를 하는 거겠죠?",8개,2020. 4. 11.
RichaMishra,such a cute video!!!,2개,2020. 4. 11.
MarlynPhoebe,This is the cutest video,3개,2020. 4. 11.
이혁,꺄 결혼한 신혼부부 같아요 유나님 결혼햇나요???,0개,2020. 4. 11.
rableado,지역어딘지아시는분..,0개,2020. 4. 11.
Alexis,S0  cheat,0개,2020. 4. 11.
최선희,왜결혼안하세요,4개,2020. 4. 11.
JJ,요즘 젊은이들은 결혼 전에 한 침대에 드는 경우도 있나요...세상에.....,3개,2020. 4. 11.
