닉네임,댓글,좋아요수,날짜
Gag펠존gaming,뭔가 동준님이 바뀐거 같은 앞으로도 이렇게 영상 올려주세요 감사합니다,2개,2020. 5. 5.
옴테크Ohmtech,카메라도 카메라지만 접힌다는 장점을 잘 활용할 수 있는 방안이 나왔으면 좋겠네요 ㅋㅋ,1개,2020. 5. 5.
월리,딴건 모르겠고 외부액정좀 레이저만큼 키워줬으면.....,1개,2020. 5. 5.
물똥,근데 접히면 너무 두꺼워보임,2개,2020. 5. 5.
남건우,지발 카메라좀 어캐하면 안되나 ㅠㅠ,1개,2020. 5. 5.
jang2014,1빠,1개,2020. 5. 5.
꿀벌,"ㅋㅋ 플립 쓰실분들 무조건 무광액정필름 쓰세요 
유광쓸때 찍힌자국 신경쓰여 주금",0개,2020. 5. 5.
이미나,세로 디저인이나을것같아요,0개,2020. 5. 5.
장예찬,그냥 레이저랑 비슷하게 해주면 안되나....,1개,2020. 5. 5.
시리,민서야 내 아이폰 수리비 갚아라 산지 얼마 안 된 1개월 된 새삥 이였다 인간아 니가 수학여행때 깔아뭉개서 휘어버린 내 아이폰수리비 39만원 갚아라 좀 맨날 말좀 그만 돌리고 ㄹㅇ 나 너네집 안다 너희 어머니께 말씀 안 드린거 안다 너네집 가서 말하기 전에 사과하고 갚아라 구리고 얼마나 뚱뚱하면 폰이 휘어지냐 중고로 라도 물어내든가 빨리 갚지 않으면 처들어간다 그리고 도*아 돈 좀 들고와 제발 맨날 얻어먹으려고 하지 말고 이 그지근성 쩌는 아가야그리고 한*야 제발 책상에서 비듬 털지마 빗질을 하던가 맨날 학교 책상에 터는거 봤다 여름에 눈 내리는 줄 최소한 매너로 니 🐶 더러운 비듬 쓸어서 버리든지 물티슈로 닦던지 하고고 쓸기 닦이들 죽어나간다 현빈아 🐶 같은 망상 하지말고 5000원 갚아라 선생님한테 구라까지 깠더라 갚았다고 받은적이 없는데 제발 갚아라 ㅈㄴ 잠수 그만 타고,0개,2020. 5. 5.
고구먀,엘지..ㅜㅜ,3개,2020. 5. 3.
아름다운갤워치액티브,전자기기 덕후들은 슬퍼지는 2020년 입니다,2개,2020. 5. 3.
Timcook,"2:34
LG.....",1개,2020. 5. 3.
월리,기업들의 고마진 정책이 먹혀 들어가는건가.....,1개,2020. 5. 3.
시리,눈팅,1개,2020. 5. 3.
GwangmooYoo,매스 프리미엄이라 하고 전작과 가격은 그리 차이 안나고 성능은 오히려 낮음... 그냥 LG가 자초한 결과고 SE나 A51이 없었다 치더라도 결과는 안좋았을것.,1개,2020. 5. 3.
김소유,엘지 g8써봤던 저로썬 엘지가 더더욱 잘 됐으면 좋겠습니다 ㅠㅠ,0개,2020. 5. 3.
jang2014,4,1개,2020. 5. 3.
하하호호,그래도 삼성은 s20보다 a51 lte판이 잘팔렸음,0개,2020. 5. 3.
장예찬,차라리 스냅이 가격 비싸니까 엑시노스 쓰고 가격을 낮추자,3개,2020. 5. 1.
월리,드디어 스냅의 독점을 막을수 있을것인가.....,2개,2020. 5. 1.
크으위즈원,그냥865라도해주지,2개,2020. 5. 1.
홍찬,스냅 865 그냥 쓰지.. 865+ 나오면 좋을텐데 ㅜㅠ,1개,2020. 5. 1.
jang2014,1빠,1개,2020. 5. 1.
한건희,이놈의 코라나가 문제야!!!!!!!!,1개,2020. 5. 1.
jang2014,3나노 공정 개발했다던데 왜 안쓰고 있음?,2개,2020. 5. 1.
전준호,머야 왜 갑자기 억텐채널로 바꼈지.....;;; 적응안됨,0개,2020. 5. 1.
어천역NO248Eocheonstn,내년을 기대해봅니다! 엑시노스 1000!,0개,2020. 5. 1.
0413박현진,"그련데 갤럭시s20 울트라가 하고 갤럭시s20 하고 갤럭시s20 + 하고 차이점은 무엇일까요? 
카메라 디자인 성능 등 모든 부분에서 요 
제일 궁금한 거에요 

그리고 재가 갤럭시s8 쓰고 있는데 갤럭시s20 울트라 살까요?  아니면 기다렸다가 갤럭시s21
살까요?

재가 주위에 갤럭시s20 기본 쓰는 사람이 있는데 
똑같은거 쓰기가 싫어서 요",1개,2020. 5. 1.
월리,암드 합작 엑시노스까지 나오면 다시 엑시노스 전성기를 가져올 수 있는것인가...!,3개,2020. 5. 28.
장예찬,amd랑 합작한 CPU가 빨리 나오길...,2개,2020. 5. 28.
호요,아아니 동준님 알거 다아시는분이 마이크 픂퓨ㅠ소리 내면 우째여 솜털선물드리고싶다,1개,2020. 5. 28.
HEXxsky37,"예전 엑시노스.....1ghz클럭를 처음가버리는 기염을 토하며 스냅드래기,갓시노스라는걸 강조했는데 어느때부터 엑시노스가 쓰레기가 되어버렸지 다시 그 영광을얻길 바란다",1개,2020. 5. 28.
아이깨끗해,"동준 일부러 배속 막아놓으신건가요?
왜 배속이 안되지?",1개,2020. 5. 28.
jang2014,1빠,1개,2020. 5. 28.
하나,"중공 짝퉁핸폰 겨울에는 사용도
못하고 액정 고장많고 가격도 ×
삼성이 최고좋 미국많사용하는 
삼성 20있어요 미국이 삼성당첨
성능 면에서나 기능면에서 삼성 
우한코나때문에 시기가않좋와써요 
20은 카메라 성능 짱좋와요 티비화면
도 좋와요 저는 삼성꺼많써요 
삼성 응원합니다 👍",2개,2020. 5. 28.
이택,또 엑시노스 ...전작보다 좋아도 똥은 똥,1개,2020. 5. 28.
HO,노트10플러스 공시지원금 올라가면 그때 구매하는게 좋을까요? 아니면 몇달 기다렸다가 노트20플러스모델로 구매하는게 좋을까요? 많은분들 조언과 의견 부탁드립니다ㅜㅜ너무 고민되네요,1개,2020. 5. 28.
ahn용이,편집을 말을 쉼없이 해서 듣는사람이 힘드네..,0개,2020. 5. 28.
은솔,삼성의 장점을 애플이 다 가져가버리니 갤빠는 슬프네요,2개,2020. 5. 27.
동키,"통화 녹음이랑 애플페이만 정말 된다면
아이폰 안 쓸 이유가 없군요 
만년 앱등이는 생각만으로 행복합니다ㅎ",1개,2020. 5. 27.
불타는키친,통화녹음 되면 애플로 갈아탄다~! 애플페이는 존버해야지~~,1개,2020. 5. 27.
때때,만약에 나온다면 설정에서 허용/거부 같은걸 넣어서 허용설정 된 사람끼리만 되게끔 하지 않을까요??,1개,2020. 5. 27.
최현서,좋은 영상 감사합니다 😘,1개,2020. 5. 27.
에레레레,애플페이는 절대안나오니 전 갤럭쉬,1개,2020. 5. 27.
물똥,오우 아주 쌉적이야,0개,2020. 5. 27.
이성진,통녹되면 바꾼다!,1개,2020. 5. 27.
월리,ios가 개방되는건 좋네요,1개,2020. 5. 27.
네모나라,동굴 목소리 듣기 싫음 안했음 좋겠네요,2개,2020. 5. 27.
경환이,이번 WWDC가 항상 기대되는데 요번에는 더욱더 기대되네요~!! 항상 유익한 정보 감사합니다~!,1개,2020. 5. 27.
malebearS,그래 진작에 이렇게 해줬으면..”녹음하는데 만약에 발생할 불법이네 뭐네 하는 책임은 너님이.”,1개,2020. 5. 27.
jang2014,1빠,0개,2020. 5. 27.
GHK,유튜브 컨셉 바꾼건가요??,3개,2020. 5. 27.
0413박현진,"그런데 아이폰 12 프로 맥스가 s20 울트라 카메라 
보다 더 좋을까요?

그리고 기타 아이폰 12 프로 맥스 기타 스팩은 어떻게 나올까요?

그리고 갤력시 s20 울트라 상하 배잴 보다 
아이폰 12 프로 맥스가 더 줄었나요?",0개,2020. 5. 27.
Timcook,애플 스토어 2호점은 명동에 생길 거라는 루머가 있네요!,0개,2020. 5. 27.
이재용부회장,"물 들어올때






방수 넣어야지",4개,2020. 5. 27.
luckyclassic,역시 기술의 발전이란....,1개,2020. 5. 27.
천쇄,이거 수량 한정 되있지 않나요?,1개,2020. 5. 27.
jang2014,1빠,1개,2020. 5. 27.
kikiGigi,진짜 방수 돼나요?,2개,2020. 5. 27.
Kodawary,외부 디스플레이가 저래도 분명 출고가는 100만원이 넘을텐데 저러면 그냥 폰 그대로쓰거나 중급기로 가고 아이패드프로 살거같네요 Z플립부터 폴더블의 메리트가 없어진듯한 느낌이 너무 강해요,1개,2020. 5. 27.
곰돌이튜브,"갤럭시폴드2 라이트와 동일하게 작은 외부 디스플레이?
Z플립과 동일하게 아닌가욥?",1개,2020. 5. 27.
jang2014,아웃폴딩으로 싸게 만들면 안됨?,1개,2020. 5. 27.
luckyclassic,제발 타입C 들어가라.....,7개,2020. 5. 26.
Timcook,"생각해 봤는데 아이패드에 들어간 커넥터처럼 자석으로 착 하고 붙여서 충천할 수 있으면 좋겠네요


그런데 충전하다 자석에 살이 찝힐것같다",4개,2020. 5. 26.
웰시코기,예전 맥북처럼 맥 세이프였나? 그거 해주면 ㅜㅜ,1개,2020. 5. 26.
RedF,"아이폰 13 구성품=> 이어폰, 이어폰 커넥터, 아이폰 13 * 무선충전기 별매",3개,2020. 5. 26.
Kodawary,지금은 아이폰하고 에어팟이랑 아이패드프로 쓰고있어서 아이패드때문에 충전기가 하나 더필요한데 아이패드만 C타입이라서 은근 불편한점이 많네요.. 이게 만약 팩트라서 아이폰이 C타입이 되면 뭐하나~ 에어팟은 라이트닝인데~,3개,2020. 5. 26.
ubisolanum,아이폰 Xr 오열,2개,2020. 5. 26.
물똥,제발 그랬으면 좋겠다,1개,2020. 5. 26.
호오,"아이폰12와 갤럭시버즈X하고 
만약 쓰면 괜찮을까요?ㅠㅠ",2개,2020. 5. 26.
김승철,5.4인치 에 삼성 디스플레이라도줘서 감지덕지해야해.. 포트는딱히신경안쓰는데,1개,2020. 5. 26.
jang2014,1빠,1개,2020. 5. 26.
박지후,오옹,1개,2020. 5. 26.
이승엽,근데 라이트닝 케이블이 왜 안좋아요?,4개,2020. 5. 26.
LouisKim,타입C면 삼성 고속충전기 어댑터로 고속충전...이..안 되겠죠..?,1개,2020. 5. 26.
,이어폰포트 없앤것도 이해안되는데 충전포트까지없애면 충전하면서 사용은 어케함?,1개,2020. 5. 26.
Do,이미 라이트링으로 결론,0개,2020. 5. 26.
ryan,라이트닝으로나옵니다 낚지마세요,0개,2020. 5. 26.
JunSeokSung,아이폰 12프로에 스마트폰 최초로 10비트가 들어갈수 있다고 하네요 8비트는 현제 삼성이랑 다른 스마트폰 제조사들이 쓰는 색 영역이라서 나쁘진 않아요,2개,2020. 5. 26.
할께없네,아이폰 이야기에서 삼성폰 물어봐서 죄송한데.. 삼성s10 이후부터 몇비트인가요? 아이폰과 같이 8비트인가요?,0개,2020. 5. 26.
Mr칼리프,"되겠냐?ㅋㅋ 라이트닝이지 
어그로도 참신한걸로 끌어야지 ㅉㅉ",3개,2020. 5. 26.
하나,"삼성 이쁘네요 
삼성응원합니다",3개,2020. 5. 25.
고현수,저렇게 나오면 아이폰감 ㄹㅇ,2개,2020. 5. 25.
웰시코기,???: 앞으로 라면끓일때 카메라 위에 올려놓고 끓여라,1개,2020. 5. 25.
김행복,지문 인식 기능 안 빠집니다,1개,2020. 5. 25.
팩트인,흰색선 넣어야하나 개같네..,1개,2020. 5. 25.
,카툭튀 진짜 저정도로 두껍게 나오면 s21이랑 아이폰12랑 고민해보고 골라야겠다. 갤럭시만 써왔어서 쭉 갤럭시 쓰고싶은데 자꾸 넘어가고싶네,1개,2020. 5. 25.
귀여운왕자,세상에......디자인이......,1개,2020. 5. 25.
룰루랄라,"항상 빠른소식 감사드려요. 
삼성만 써왔고, 그냥 노트12만 기다리는중이었는데,  다음번에 아이폰12로 가보고싶은 심정이네요.",1개,2020. 5. 25.
luckyclassic,링 둘러져 있는건 진짜 최악이다...... 이젠 플래그쉽을 사도 보급형 느낌;; 그리고 지문인식을 빼면 뭐 핀이나 패턴으로 잠금해제 하라는건가...?,1개,2020. 5. 25.
