comment,token
アルムソンイちゃんの動画見とったらいつの間にか寝ちゃう！笑笑 おちつく声だけん！♥,[]
where are the eng subs TT,[]
今回のメイクは大人っぽくて可愛い感じがしてすごく好き♡次の動画も楽しみにしてます！ノーズシャドウの入れ方とか、リップの色の合わせ方とかすごく好きです！これからも頑張ってください！応援してます！,[]
ほんとにメイク大好きすぎる。いつも参考にしてます！,[]
インスタでメイク気になってたから嬉しい！！,[]
アルムソンイちゃんが付けてるカラコン凄い透明感があって綺麗！,[]
今日もとっても可愛くて綺麗です🥰いつも日本語の字幕を付けてくださって、ありがとうございます🥰,[]
5:04 아메리카노 부럽내용  언니영상에 출연하구 ,"['아메리카노', '영상', '출연']"
아 미친 눈썹모야 완전 많이 완벽해졌자나여 진짜 노력파 노력하는게 눈에 보여요,"['눈썹', '모야', '완전', '나', '진짜', '노력', '파', '노력', '눈']"
와 이번메이크업 레전드진짜 잘어울려요 특히 립 ,"['이번', '메이크업', '레전드', '진짜', '립']"
저 계속 컨실러 언제 펴바르지 라고만 생각하고 있었어욬,"['저', '계속', '컨실러', '언제', '생각', '욬']"
早く見れた今日も可愛い🤦♀️🥺,[]
今日クリオのアイシャドウパレット買ったからなんか嬉しい🥰メイクとっても可愛いです♡,[]
アルムソンイちゃんほんとに大好きいつも字幕も付けてくれて分かりやすくていつも参考にしてます！これからも楽しみにしてます！ノーズシャドウの入れ方やグリッターの入れ方など部分的なのもやってくれたら嬉しいです아루무손이 짱 정말 사랑  항상 자막도 붙여주고 알기 쉽고 항상 참고하고 있습니다 앞으로도 기대하고 있습니다 노즈 섀도시키는 방법과 글리터 넣는 방법 등 부분적인 것도 해 주셨으면 좋겠다 ,"['아루무손', '짱', '정말', '사랑', '항상', '자막', '항상', '참고', '앞', '노', '섀도', '방법', '글리터', '방법', '등', '부분', '것', '해']"
ドアップで見たらひよんちゃんに似てるよねどっちも可愛いし美人,[]
Its been 4 days i wait to watch this video but there still no eng sub,[]
아름송이님이 여리여리하고 청순해서 이 메이크업이 최고로 잘 어울려요이 메이크업 자주 해주세요,"['아름', '송이', '이', '메이크업', '최고', '메이크업', '자주']"
当たった笑,[]
女の子らしい雰囲気で私がとても好きなメイクアップでした⸜❤︎⸝いつもメイクの参考にさせて頂いてます(•᎑•),[]
YES YES AND YES I DONT UNDERSTAND A THING YOURE SAYING BUT YAS GURL ,[]
とっても可愛いですいつ見てもリップの色がかわいい,[]
めっちゃ可愛い、🥺🥺,[]
かわいい！！,[]
早く見れた！！！すきです！かわいい！,[]
毎回リップの色が好きすぎる,[]
すっぴんで、あの可愛さ、ヤバい,[]
久しぶり！！！かわいい！,[]
かわいすぎる♥️♥️♥️♥️♥️♥️,[]
色のイメージがすごい可愛い,[]
可愛すぎる、、、🥰,[]
かわいい,[]
超可愛いです～！！✨Innisfreeの縛りメイクもみたいです☀️,[]
ファァァめっっっっっかわ너무   귀여워,[]
이글립스 - 저려미 맥 -고려미로 원브랜드 하셔도 좋을것 같아용 ,"['이글', '립스', '맥', '고려', '미로', '브랜드']"
kskwくそかわ너무너무너어무！귀엽구 예뻐영 ❤🥺,"['너', '무', '영']"
キムチェウォンちゃんに似てますね！いつも日本語字幕ありがとうございます🤍,[]
いや、可愛すぎ❤,[]
Wow it's so beautiful,[]
めっちゃ可愛い🤍🤍,[]
いつも見てます！！韓国語が分からない私からすると日本語字幕があって助かってます、ありがとうございます！これからの動画も楽しみにしてます！頑張ってください！,[]
So preety unnie Keep do good ❤ I am follow you from iraq,[]
クリオ縛り嬉しい〜,[]
ただただ可愛い幸せ,[]
하 언니진짜 너무 이쁜거같아요 볼때마다 느껴요,"['언니', '진짜', '볼때']"
진짜 코가 너무 이쁘시다 너무 제가 좋아하는 코 본 얼굴이 되니까 연하게 화장해도 이뻐효어,"['진짜', '코', '제', '코', '얼굴', '화장', '효']"
今日もかわいい,[]
かわいいです！！！,[]
