닉네임,댓글,좋아요수,날짜
박지영,10:56 어퓨가 쥬시팡 블러셔가 롬앤 말린메밀꽃으로 잘못 표기된거 같아요!,25개,2020. 4. 25.
,ㅋㅋ 신기하당 조회수 제일 높은 영상이 가을 메이크업이네,16개,2020. 4. 25.
다2,라뮤끄님의 퍼스널 컬러 정말 예상 외네요!! 역시 전문가에게 진단을 받는게 중요하구나 또다시 느꼈습니다..👍👍 존재감을 없애고 싶을 때는 워스트 제품을 사용하면 좋다고 한 걸 본적이 있었던거 같아요! 퍼스널 컬러를 잘 알아서 베스트와 워스트를 잘 활용하면 좋겠네요 ㅋㅋㅋ 🤣,36개,2020. 4. 25.
김예은,bgm. 편집 소리가 시끄러운것 같아요...ㅠ,25개,2020. 4. 25.
hani89310,언니에게 안 어울리는 색을 본 적이 없어요!!! 금손 라뮤끄 언니🥰 심지어 먼지나방님이라뇨!! 블로그 시절 저의 최애 블로거신데😍 옳다 옳아 이 조합!!,16개,2020. 4. 25.
JiAnKim,우와 신기해요! 전 왠지 라뮤끄님 메이크업하신 거에서 브라운톤이 제일 분위기있고 어울리셔서 가을웜으로 예상했는데 역시네요 가을분들은 진한 메이크업이 잘어울리시더라구요~ 고채도의 브라이트한 컬러 빼곤 대체로 다 잘어울리시는듯♡ 넘 재밌게 잘봤어요! 저도 받고프네요ㅎㅎ 아아 립스틱색 완전 완전 찰떡들ㅜㅜ너무 이뻐요!♡,4개,2020. 4. 25.
soljay,티셔츠도 신경쓰지 않는 단 뜻의 프랑스어네요 ㅋㅋㅋㅋ,4개,2020. 4. 25.
,"와 나 이렇게 완뵥한 갈뮽 첨봐,,,,,,,",13개,2020. 4. 25.
김민정,근데 저 롬앤 메밀꽃은 쿨톤템 아니였나,29개,2020. 4. 25.
LuisWon,오늘보다 내일 더 예뻐지세요 하실 때 사르르 녹음ㅠㅠ 저도 2년 전에 먼지나방님한테 받고 왔는데 가을웜으로 예상했으나 여쿨라라는 진단에 되게 놀랐었어요ㅋㅋㅋ 퍼스널컬러는 꼭 한번쯤 받아보면 넘 좋은 것 같아요,16개,2020. 4. 25.
mejazz,ㅋㅋㅋㅋㅋㅋㅋㅋ먼가 당황한 표정이 귀여워요 언니 저도 가을뮤트쪽데 맨날 쿨톤 색깔만 입어요 어쩌겠어요 좋은거 입어야지 우리 꿋꿋이 파스텔 입어요!!!!!!!,2개,2020. 4. 25.
키우고싶다고양이,말린메밀꽃 ㅜㅠㅜㅠ 저거 롬앤에서 완전 쿨톤 컬러라ㅏ 고 광고해서 샀는데.... 너무 누래요ㅠㅠㅠ 더 회색빛 돌길 바랐는데.....,2개,2020. 4. 25.
니이모를찾아서,폰에도 블루라이트 필터 씌우고  블루라이트 안경쓰고 사는 사람은 모두가 웜톤,19개,2020. 4. 25.
dawon1010,10:55 우측 하단 어퓨 과즙팡 워터블러셔 #BE01 무념무상무화과 9g 5500원 이에요!!!,2개,2020. 4. 25.
염엿,"처음에 립 바를땐 음 뭐지? 그랬는데
제품들 쭉 보니까 엄청 차분하거나 고추장색 낙엽색
이렇게 불리는 색들인데 엄청 화사한 코랄색같이 느껴져서 순간 놀랐네요.. ㅋㅋ",3개,2020. 4. 25.
김가영,"약간 슬의생 전미도님이랑 닮으셨당  
오밀조밀 귀여운 이목구비 헤헤",6개,2020. 4. 25.
비타민D,확실히 팔레트 넓으신 이유가 있었돠....,6개,2020. 4. 25.
예찬,10:57 어퓨 주시팡 블러셔 자막 잘못 올라간 것 같아요!,1개,2020. 4. 25.
냥냥,10:12 엥 말린 메밀꽃 쿨통 유명템아닌가..?,3개,2020. 4. 25.
토마토맛토,5:58 언니 이런 핑크 옷이나 아이템 자주 입으시는 것 같던뎈ㅋㅋㅋㅋㅋ대박 근데 저도 가을뮤트인거봐요..클리오 멜로우로즈는 이미 있고 다른 립컬러들도 다 취향저격ㅋㅋㅋ페리페라 잉크더벨벳 2호 여주인공도 가을뮤트에요!!,0개,2020. 4. 25.
,오ㅏ.. 말린메밀꽃이 쿨톤만 쓰는게 아니구나..,7개,2020. 4. 25.
나비,오.. 저는 반대로 회색빛 들어간 탁한게 아예 안어울리는 겨쿨 브라이트인데 회색이 저렇게 잘어울리는거 보면 신기하네요! 저는 완전 칙칙 그자체가 되돈데..뭔가 라뮤끄님은 느낌이 살구살구 해서 봄일것 같았는데 신기하네요ㅎㅎ,2개,2020. 4. 25.
마구니구니구니,"봄웜이라고 생각했는데 라뮤끄님 어울리는 색들 다 나한테 잘 받는 색,,가을뮤트일수도있겠군요;",4개,2020. 4. 25.
오도로슝슝,와 뮤끄넴 뮤트야 ㅋㅋㅋ 이제 뮤끄넴보고 다따라해야지~~~,1개,2020. 4. 25.
한히,아 저 짇짜 궁금ㅎㅆㅁ는데ㅠㅠㅠㅠㅠ 선댓후감상함다ㅠㅠ,1개,2020. 4. 25.
