닉네임,댓글,좋아요수,날짜
선화,"명수의  Q&A  쯔양에게 물어봐 ~ㅎ
박거성 질문도 잼나게 잘해주고  
쯔양 대답도 잘하고 
영상 잘봤어요~쯔양💕",60개,2020. 5. 9.
mariak,"으하하하 🤣이제 쯔양의 새별명 쯔스타^^
딱이네요. 티비에서도 많이 봤음 좋겠네용. 쯔스타~~^^",8개,2020. 5. 9.
SeoGiASMR,9:14 ㅋㅋㅋ 보통은 몇인분 먹어요 하는데  3키로ㅋㅋㅋㅋㅋ 단위가 키로얔ㅋㅋㅋㅋㅋ,39개,2020. 5. 9.
DST,"쯔양은 국민 먹방이지ㅡㅡ
유재석과 명수가 키워줄정도면 이는 착하고 
순순가 ㆍㆍ
^^",27개,2020. 5. 9.
유현호,헉 왜 내눈에 송은이님이 보이지 ㅋㅋㅋㅋㅋ 졸귀,5개,2020. 5. 9.
쯔사랑,재관님~ 일일매니저🤣🤣🤣🤣,8개,2020. 5. 9.
GG,매니저가 이렇게 잼있다닠ㅋ,24개,2020. 5. 9.
박지현,재관님 진짜 웃기시고 ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ,22개,2020. 5. 9.
LaiSah,"Woah,,,,I'm glad to see you tzuyang,,love you ❤️🇵🇭",18개,2020. 5. 9.
YOU민지,권재관님 볼수록 매력터지시는거같아요ㅋㅋㅋ,18개,2020. 5. 9.
별우,"박명수님 계속해서 와~ 그게 가능해? 감탄사만 ㅎㅎ 
다음에 쯔양님 한테  고기 꼭 사주셔야 합니다 🤣🤣",23개,2020. 5. 9.
라떼는말이야,"저도 쯔양님 덕분에 항상 눈이 즐겁습니다. 맛있는음식 많이 드시고 오래오래 남아주세요~
다음영상 또 기다릴게요~>_<",4개,2020. 5. 9.
주터,"ㅋㅋㅋ쯔씨야 귀엽다!!
방송 잘했어~
앞으로도 더 잘되길  바랄게!!^^",7개,2020. 5. 9.
promukbangASMR프로먹방러,진짜 넘 맛있게 드세요ㅜㅜ 시원시원하게 팍팍 잘드셔서 속시원하구 좋아요ㅜ❤❤,9개,2020. 5. 9.
양승용,"많이 먹지만 쯔양님 이쁘다..
웃으면 더 이쁘다..",3개,2020. 5. 9.
aa,쯔양도 쑥쓰러움많고 그런데 배포가 커. 어딜가도 안쫄고 있는 그대로 말하고 행동하는게 장군감이야.,16개,2020. 5. 9.
세상에이게뭐야,"11:43 쯔양님처럼 좋은 사람이 우리 앞에 나타나주셔서 제가 훨씬 더 감사해요! 정말 방송 시작해주셔서 고마워요😊 오래 보자는 말이 그저 우리의 바람이 아니라 정말 현실이 될 수 있었으면 좋겠어요❤

요즘 심적으로 많이 힘들어서 그냥 우울하게 침대에 뻗어있는 날들이 많았는데 쯔양님 영상 보고 오랜만에 웃을 수 있었어요
쯔양님은 항상 구독자분들 덕분에 감사하다고 하시지만 아니요.. 우리가 쯔양님 덕분에 감사한 날들이 훨씬 더 많아요
쯔양님 덕분에 웃고, 쯔양님 덕분에 즐거운 순간들이 엄청 많이 있어요
오늘도 이렇게 쯔양님 덕분에 웃고 조금이나마 힘을 얻고 가요
항상 선한 영향력으로 우리의 마음을 이끌어주셔서 감사합니다 :)
재관님도 정말 감사해요! 오늘 입담 너무 재밌으셨어요ㅋㅋㅋ",66개,2020. 5. 9.
Stigma,"아니 웃는 사진 왜 저걸 썼ㅋㅋㅋㅋㅋㅋ
근데 권재관님이랑 엄청 친하신가봐 ㅋ",4개,2020. 5. 9.
youngkwon,권재관 개웃긴데?ㅋㅋ,5개,2020. 5. 9.
폴쉐,사랑스런 우리 정원이 건강하고 행복하자~~~^^,33개,2020. 5. 9.
읽어주는카린TV,쯔양님은 먹을때도 예쁘지만 말도 넘 예쁘게 하시네..❤️,30개,2020. 5. 9.
지담화Jidamhwasdailylife,"쯔양님 진짜 잘되길 바랬는데 이렇게 공중파 이런곳도 광고서도 보고 너무 너무 기뻐요~
(근데 매니저한테 혼나는 쯔양님 ㅎㅎㅎ )",10개,2020. 5. 9.
배이성,저도 쯔양천사님 매니저 지원합니다ㅋㅋ♥♥,10개,2020. 5. 9.
나무사랑,"우와
기자들이 사진까지?!
엄청나군요
쯔양 진짜 초기4만? 이정도 일때부터
술방보고
완전 팬이었는데
이제는 뭐 상위1% 네요
롱런 꼭 할끄야  ㅋㅋㅋㅋ",21개,2020. 5. 9.
DavidJeong,"지금은 휴방이지만.. 이렇게라도 쯔양 볼수있어서 너무 좋았어요 ㅎㅎ


영상 업로드 감사합니다 :)


쯔양 화이팅 !!!",26개,2020. 5. 9.
VINCENT,"라디오 방송으로 잘 봤습니다
말도 잘하고. 정말 재미 있게  잘 봤습니다
이런 방송  종종 해주세요
쯔양 홧팅 입니다",38개,2020. 5. 9.
이린,(08:42) 케이크만 두판 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 쯔양답다 증말....ㅋㅋㅋㅋㅋㅋㅋ 투썸이런데 가면 사람들 조각케이크에 커피마실때 쯔양은 케이크 두판에 커피마실듯 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 9.
신난다,"웃는게 너무 이쁘고 리액션이 너무 좋아서 대화하는 재미가 있겠어요..
나도 쯔양하고 친구되고싶다ㅜㅜ",1개,2020. 5. 9.
자낳괴나불조심,"쯔양님이 좋은 이유

먹는 걸 참 복스럽게 먹고

예쁘고  인성도 좋고


차도 잘 만들고 배도 잘 만들고",40개,2020. 5. 9.
kimjwajin,"2:41

여기서 빵 터졌다 ㅎ ㅎ ㅎ",2개,2020. 5. 9.
구르미,우리는 생일때나 케잌먹는데ㅠ,3개,2020. 5. 9.
치우천왕,쯔양님 우주대스타가 되셨군요. 웃을때 진짜 귀엽.,16개,2020. 5. 9.
우주최강잔나,ㅋㅋ쯔양누나가 만두를 허락해주셨다!!!!!!!ㅋㅋㅋㅋ,3개,2020. 5. 9.
리컴번트,아~ 진짜루 갔네... 김치째개집 ㅋㅋ 유윈!!!,6개,2020. 5. 9.
yujeong8,나는쯔양 1만명 전부터 봤는데 너무 커버렸어 ㅎㅎㅎ뿌듯해,17개,2020. 5. 9.
김쪼꼬,꺄울~~~ 쯔명수 조합이다 !!,28개,2020. 5. 9.
잠보맘보,보면 볼수록 호감가는 쯔양님 건강하고 길~~~~~게 방송해주세요.,3개,2020. 5. 9.
김민제,재관이형도 화이팅~! ㅋㅋㅋㅋㅋㅋㅋㅋ 아 개웃겨 ㅋㅋㅋㅋㅋ 여억시 개그맨😀,3개,2020. 5. 9.
saramparkdal,06:09 쯔양님 박명수씨랑 권재관씨랑  같이 있으니  상대적으로  얼굴  진짜 작으시군요,1개,2020. 5. 9.
김덕헌,김치찌개집 어딘지 아시는분 ㅠㅠ,7개,2020. 5. 9.
SBJung,"7:36 섞어서 2~3병 거기에 맥주는 1.5짜리?ㅋㅋㅋ
쯔양 흥해라!",6개,2020. 5. 9.
doitJust,아 쯔양누나 너무좋아...ㅠㅠ,8개,2020. 5. 9.
Mira,Wow tzuyang becoming celebrity💜,2개,2020. 5. 9.
박이,30분째 버스 못탄거 실화?ㅋㅋㅋ,3개,2020. 5. 9.
Doublefoxhead,재관둥이 옆에서 써포트 좋았다. 짬바가 있네 확실히 ㅋㅋㅋ,6개,2020. 5. 9.
비비탄명사수,"채널 구독자긴하지만 매번챙겨보는것도 아니지만 예전부터보면서 사람이참 착하구나 이쁜사람이구나 라고생각했는데 이렇게 점점 메이저 매체에 진출하는게 너무 기쁘네요 
앞으로도 승승장구하길빕니다~",30개,2020. 5. 9.
문소은,같이 오래 일한 매니저 같어 ㅋㅋ,4개,2020. 5. 9.
푸른곰팡이,쯔양님 방송도 왤케 잘하셬ㅋㅋㅋㅋㅋ큐ㅠㅠㅠㅠ 저도 라디오 잘 안듣는데 쯔양님 나온편 다시 챙겨봐야겠어요 편집본도 너무 재밌었어욬ㅋㅋㅋㅋ 쯔양님 오래오래 롱런원츄🙆‍♀️💜💛💚💙,4개,2020. 5. 9.
VADERD,대박 이러다 지상파도 많이나가게 되실지도 ㄷㄷ,2개,2020. 5. 9.
최가은,헐 언니 라디오까지 출연하셨다니,43개,2020. 5. 9.
오정석,"쯔양님 안경. 너무 잘어울려요

아라레같애. ㅎㅎㅎㅎ",3개,2020. 5. 9.
애송이TV,와 쯔양 클라쓰.. 이제 라디오도 나오시네요,29개,2020. 5. 9.
JIHUYUNWOO,"10만이었을때가 엊그제 같았는데, 이젠 일류 연예인분들과도 일하시는구나... 멋져요! 쯔양양(?)♡",14개,2020. 5. 9.
