Unnamed: 0,youtube_id,comment,like_num
56,nrhy,스물아홉에 결혼하고싶다할때 남자친구분이 가장예쁠때? 라는 말에 난 항상 이쁘다고 받아치시는거 너무 맘에듭니다❤️❤️❤️❤️❤️❤️,0개
57,JJ,희주님의 가치관을 엿볼 수 있는 이런 큐앤에이 너무 좋아요 💖 토크쇼 보는 줄 알았어요 ㅋㅋㅋㅋㅋㅋ,1개
58,Roi,언니ㅠㅜㅜㅜㅠ너무 좋아요 사랑해요 오래오래 건강하게 영상 올려주세요💖,1개
59,데코,77ㅑ~~~~ 오늘 9시에 업뎃된다던 재밌는 영상이 이건가여~~~? 나 너무 설레~~~~~💓💓💓💓,0개
60,송수빈,"언니 증말 이렇게 귀여울꺼야😤❤️
사랑해 증말",1개
61,조주현,오늘도 미모열일한다,1개
62,선연Sunyeon,I loved this video! Thank you for inspiring me with your answers. I am learning Korean now and I hope to become a stable youtuber. I love your content so much. One of my goals is to make videos speaking Korean fluently. I also am looking to buy a jeep too! I can tell that we would be great friends  :),0개
63,honeymiruku,Thank you for the subs! I love your boyfriend's comments to the questions too. Would love to see more videos with him in it~,0개
64,LizAkyxl,"Wish I could speak your language, but so happy about the subtitles! 😍❤️",0개
65,양지원,언니 남친이랑 티키타카 너무 재밌어요!!!둘이 얘기하면 너무 재밌을 것 같아요 이런 영상 너무 죠타!!!언니가 편하다 생각하는 사람들이랑 있을 때의 귀욤미가 너무 좋다구욤❤️그리구 언니 저랑 생각하는게 너무 비슷해서 영상 볼 때마다 너무 신기ㅜㅜㅜ,1개
66,조주현,언니 나랑 취저 나도 지프 드림카에요ㅜㅠ 아직고딩이어서 못산다 ㅠㅠㅠ,1개
67,박은비,와 남자친구분 공감을 너무 잘해주시는데요? ㅋㅋㅋㅋ 두분 같이 있으면 웃음이 끊이지 않을꺼같아요!! ㅎㅎㅎ,0개
68,ROCIOGOMEZ,"Jijiji, me da gusto verte aunque no entendí casi nada, obviamente solo las pocas palabras que dijiste en español, saluditos de una mexicana en Italia 😂🤗😘",1개
69,수민,ㅠㅠ 언니 너무 예뻐요 😭😭😭,0개
70,Jaik2377,ㅋㅋㅋㅋㅋㅋ아니 그래서 타투 스페인어로 뭐라고 하신간가요 ㅎ ㅎ ㅗ,0개
71,LucianaKimmoreno,Los subtitulos en español🙁 pero igual lo vere eres hermosaaa❤🤷‍♀️,1개
72,신화영,5:36지금받은립 이거 물어봤었눈데!!!ㅠㅠ읽어주시고 답해주시다니 감사해오❤❤행복감동뮤ㅠㅠㅠ😭😍,3개
73,은제로,꺄 왔당!!!❤️❤️🙈💜💗,2개
74,감자,헐 언니 나랑 여름좋아하는 이유 똑같아요 🥺🤍 활기넘치고 생동감있는 여름 쵝오,0개
75,돌삼,"목소리만 들어도 두 분 너무 잘 어울려용💖💛
질문 읽어주시는데 너무 재밌어요ㅋㅋㅋㅋ최구최구",0개
76,최,언니 네에~이거 너무 좋아요...힐링되는 영상이다🥰,1개
77,YazSH,Quisiera este vídeo igual pero en español 😭❤,1개
78,후츄집사,언니 뭐얏뭐얏  말하는것만 들어도 너무 잘 어울리잖아 ❤️❤️❤️❤️,1개
79,김지은,인스타 스토리보구 존버했저염 사랑슨해요오 ❤️❤️,1개
80,gycrence,이런 주제의 영상은 너무너무 좋아용!!!!!!!!!!!!!!!!!!! 다음에 또 해주세요♥️,0개
81,이지수,"언니 운전 잘하시는것 같아서 넘 멋진데 말하는건 또 넘나 뀌여워요><
마침 제가 무한리필 훠궈집 딸래미인데 강남 오실 일 있으시면 언젠간 꼭 한번 들러주셨으면..!!ㅎㅎㅎ 팬미팅으로 훠궈같이 먹는거 어때용❤️",1개
82,조은별,기다렸오요🧡😖 선댓후영상입니당🙈❣,1개
83,ThaisAidaAmbichoMedrano,"당신 은 매우 아름 답 습 니 다, 당신 을 사랑 합 니 다. 당신 은 매우 아름 답 습 니 다, 당신 을 사랑 합 니 다. ❤👊",0개
84,권민정,나중엔 차 소개도 해쥬세요!! 워츠 인 마이 카!!,0개
85,쿠크다스오돌뼈,남자친구분 리액션 너무 좋으시다 나도 리액션 장난 없는데 히주씨 아직 여자친구 자리는 나있죠?,0개
86,찡밍JINGMING,진짜 실질적인 도움이 되는 답변인 것 같아요 감솨함당 꾸벅,0개
87,이담,희주언니 완전 귀용용,1개
88,AngelynPanjaitan,"Eoniiii, Eng sub pleaseee😢😞🙏",1개
89,힙합꿈나무,"남자친구분과 캐미 쩔어요!!!! 공감도 정말 잘해주시고 부연설명과 정리 무엇!!!! 진행도 잘해주시고,, 와 
자주 두분이서 영상 찍어주세용🤍❤️
히주님을 엄청 사랑하시는게 느껴집니다 
넘 사랑해서 섬세하게 다 알고 챙겨주시려는 모습이랄꽈,,,",1개
90,유멍멍,앗싸룽❤️❤️❤️,1개
91,팡궁디팡,점수 맞춰서 교.육.과.에 갔대...뇌섹녀...,1개
92,FIONNAC,will you be adding eng subs? ❤️✨,0개
93,mafeGuzzman,"Necesitoo subtítulos! No entendí nada pero aquí estoy. 
Amo este canal 🖤",7개
94,GermanAndrade,"Me encanta tu voz en español, es tan dulce y tierna !! Saludos desde México!! 🤠🇲🇽",1개
95,kpoplove,been refreshing and refreshing your channel for english subs and finally!! yay! thank u! 🥰,0개
